,Col1,Col2,Col3,Col4,Col5
Row1,0.680764873,0.722479338,0.069598157,0.848326777,0.292744631
Row2,0.191280456,0.169178603,0.710951403,0.362438382,0.197754205
Row3,0.970548801,0.402909307,0.353321225,0.805237226,0.046968004
Row4,0.559588405,0.67823201,0.232465647,0.103878741,0.489034063
Row5,0.665967876,0.153251176,0.282935108,0.307242859,0.527969287
Row6,0.156136349,0.860564155,0.936868855,0.943806994,0.979054224
Row7,0.970740725,0.25219625,0.683056803,0.247242661,0.259124863
Row8,0.538081251,0.117392561,0.237702968,0.655157053,0.083640134
Row9,0.191964594,0.46847251,0.275111242,0.090663652,0.137913581
Row10,0.417460126,0.67002427,0.632802626,0.420576357,0.013180315
